Measure	Value	Library
Total Sequences	9892907	WUB_VN07_S179_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN07_S179_L003_R2_001_fastqc
Sequence length	151	WUB_VN07_S179_L003_R2_001_fastqc
%GC	61	WUB_VN07_S179_L003_R2_001_fastqc
Filename	WUB_VN08_S180_L003_R1_001.fastq.gz	WUB_VN08_S180_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VN08_S180_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN08_S180_L003_R1_001_fastqc
Total Sequences	10300666	WUB_VN08_S180_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VN08_S180_L003_R1_001_fastqc
Sequence length	151	WUB_VN08_S180_L003_R1_001_fastqc
%GC	63	WUB_VN08_S180_L003_R1_001_fastqc
Filename	WUB_VN08_S180_L003_R2_001.fastq.gz	WUB_VN08_S180_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VN08_S180_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN08_S180_L003_R2_001_fastqc
Total Sequences	10300666	WUB_VN08_S180_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN08_S180_L003_R2_001_fastqc
Sequence length	151	WUB_VN08_S180_L003_R2_001_fastqc
%GC	63	WUB_VN08_S180_L003_R2_001_fastqc
Filename	WUB_VN09_S181_L003_R1_001.fastq.gz	WUB_VN09_S181_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VN09_S181_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN09_S181_L003_R1_001_fastqc
Total Sequences	12338220	WUB_VN09_S181_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VN09_S181_L003_R1_001_fastqc
Sequence length	151	WUB_VN09_S181_L003_R1_001_fastqc
%GC	62	WUB_VN09_S181_L003_R1_001_fastqc
Filename	WUB_VN09_S181_L003_R2_001.fastq.gz	WUB_VN09_S181_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VN09_S181_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN09_S181_L003_R2_001_fastqc
Total Sequences	12338220	WUB_VN09_S181_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN09_S181_L003_R2_001_fastqc
Sequence length	151	WUB_VN09_S181_L003_R2_001_fastqc
%GC	62	WUB_VN09_S181_L003_R2_001_fastqc
Filename	WUB_VN10_S182_L003_R1_001.fastq.gz	WUB_VN10_S182_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VN10_S182_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN10_S182_L003_R1_001_fastqc
Total Sequences	12345435	WUB_VN10_S182_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VN10_S182_L003_R1_001_fastqc
Sequence length	151	WUB_VN10_S182_L003_R1_001_fastqc
%GC	63	WUB_VN10_S182_L003_R1_001_fastqc
Filename	WUB_VN10_S182_L003_R2_001.fastq.gz	WUB_VN10_S182_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VN10_S182_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN10_S182_L003_R2_001_fastqc
Total Sequences	12345435	WUB_VN10_S182_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN10_S182_L003_R2_001_fastqc
Sequence length	151	WUB_VN10_S182_L003_R2_001_fastqc
%GC	63	WUB_VN10_S182_L003_R2_001_fastqc
Filename	WUB_VN11_S183_L003_R1_001.fastq.gz	WUB_VN11_S183_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VN11_S183_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN11_S183_L003_R1_001_fastqc
Total Sequences	10909618	WUB_VN11_S183_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VN11_S183_L003_R1_001_fastqc
Sequence length	151	WUB_VN11_S183_L003_R1_001_fastqc
%GC	62	WUB_VN11_S183_L003_R1_001_fastqc
Filename	WUB_VN11_S183_L003_R2_001.fastq.gz	WUB_VN11_S183_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VN11_S183_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN11_S183_L003_R2_001_fastqc
Total Sequences	10909618	WUB_VN11_S183_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN11_S183_L003_R2_001_fastqc
Sequence length	151	WUB_VN11_S183_L003_R2_001_fastqc
%GC	62	WUB_VN11_S183_L003_R2_001_fastqc
Filename	WUB_VN12_S184_L003_R1_001.fastq.gz	WUB_VN12_S184_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VN12_S184_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN12_S184_L003_R1_001_fastqc
Total Sequences	12442777	WUB_VN12_S184_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VN12_S184_L003_R1_001_fastqc
Sequence length	151	WUB_VN12_S184_L003_R1_001_fastqc
%GC	63	WUB_VN12_S184_L003_R1_001_fastqc
Filename	WUB_VN12_S184_L003_R2_001.fastq.gz	WUB_VN12_S184_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VN12_S184_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN12_S184_L003_R2_001_fastqc
Total Sequences	12442777	WUB_VN12_S184_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VN12_S184_L003_R2_001_fastqc
Sequence length	151	WUB_VN12_S184_L003_R2_001_fastqc
%GC	63	WUB_VN12_S184_L003_R2_001_fastqc
